Museum,Condition,AbsCoefFloor,AbsCoefCeiling,AbsCoefWalls,AbsAreaTotal,AbsAreaFloor,AbsAreaCeiling,AbsAreaWall,RT63,RT125,RT250,RT500,RT1K,RT2K,RT4K,RT8K,RTAverage,C63,C125,C250,C50,C1K,C2K,C4K,C8K,Caverage,STIrefpos,STI2,STI4,STI6,STI8,STI10,STI12,STI14,STIAverage,STITreble,rd,D2s,Lpas4,rc,Volume
W2,WH,0.09,0.03,0.70,122.93,10.71,3.81,108.42,0.45,0.57,1.12,1.15,1.07,1.15,1.07,0.95,1.12,7.22,9.10,3.86,4.09,3.08,2.98,2.83,3.86,3.38,0.77,0.64,0.53,0.50,0.47,0.46,0.00,0.00,0.52,0.52,6.98,2.78,52.57,26.44,543.15
W3,CL,0.074,0.01,0.082,26.66642,10.24308,0.7966,15.62674,1.008888889,1.724444444,2.98,3.048888889,2.698888889,2.476666667,1.854444444,1.23,2.741481481,3.244870267,1.510619972,-0.91358343,-2.596401682,-2.295287991,-1.324705282,0.161790447,3.683652996,-2.072131652,0.65,0.51,0.41,0.41,0.37,0.36,0.4,0.4,0.408571429,0.41,0,0.33,56.35,1.01523E+11,799.23
W3,CM,0.074,0.14,0.082,37.02222,10.24308,11.1524,15.62674,0.882222222,1.524444444,2.513333333,2.776666667,2.492222222,2.452222222,1.893333333,1.241111111,2.573703704,4.590974922,2.355497306,-0.208911431,-1.468041863,-1.482396288,-1.110551576,0.503635754,4.088165956,-1.353663242,0.66,0.56,0.41,0.42,0.38,0.37,0.4,0.41,0.421428571,0.42,0.47,0.83,56.38,51015.96,799.23
W3,CH,0.074,0.81,0.082,90.39442,10.24308,64.5246,15.62674,0.934444444,1.354444444,1.464444444,1.28,1.173333333,1.192222222,1.035555556,0.817777778,1.215185185,4.19054354,3.285502767,2.64317456,3.255735787,5.025391459,4.93568031,5.324515853,7.900890855,4.405602519,0.81,0.71,0.56,0.52,0.48,0.48,0.49,0.5,0.534285714,0.53,8.59,2.29,52.91,43.65,799.23
W3,FL,0.01,0.082,0.082,23.54306,1.3842,6.53212,15.62674,0.91,1.61,2.562222222,3.162222222,3.162222222,3.082222222,2.331111111,1.255555556,3.135555556,4.430459207,2.11294452,-0.227237698,-2.679750615,-2.970393693,-3.117303297,-1.296952044,3.480424818,-2.922482535,0.6,0.52,0.36,0.39,0.35,0.36,0.38,0.42,0.397142857,0.39,0,0.68,57.11,919350.02,799.23
W3,FM,0.09,0.082,0.082,34.61666,12.4578,6.53212,15.62674,0.773333333,1.247777778,1.817777778,2.406666667,2.487777778,2.497777778,1.97,1.15,2.464074074,5.346002706,3.409817059,1.311610035,-0.649561112,-1.80261082,-1.715106813,-0.421296464,4.035296794,-1.389092915,0.64,0.56,0.41,0.43,0.4,0.39,0.42,0.42,0.432857143,0.43,0.08,0.82,55.9,38531.51,799.23
W3,FH,0.426,0.082,0.082,81.12578,58.96692,6.53212,15.62674,0.767777778,1.17,1.517777778,1.551111111,1.277777778,1.121111111,1.011111111,0.847777778,1.316666667,5.367933945,3.734433401,1.979807635,1.80552483,2.983346382,4.870160889,5.557511606,7.017050325,3.219677367,0.78,0.64,0.52,0.53,0.49,0.49,0.5,0.51,0.525714286,0.53,9.2,1.01,53.68,1552.14,799.23
W3,WL,0.074,0.082,0.01,18.6809,10.24308,6.53212,1.9057,1.582222222,2.31,3.24,3.254444444,2.794444444,2.452222222,1.858888889,1.228888889,2.833703704,0.543467106,-0.443056832,-1.221221705,-2.813831267,-3.080213419,-1.835929163,0.144024544,3.811712754,-2.57665795,0.63,0.51,0.38,0.4,0.37,0.37,0.38,0.41,0.402857143,0.4,0,0.48,56.47,53258586.43,799.23
W3,WM,0.074,0.082,0.082,32.40194,10.24308,6.53212,15.62674,0.882222222,1.524444444,2.513333333,2.776666667,2.492222222,2.452222222,1.893333333,1.241111111,2.573703704,4.590974922,2.355497306,-0.208911431,-1.468041863,-1.482396288,-1.110551576,0.503635754,4.088165956,-1.353663242,0.66,0.56,0.41,0.42,0.38,0.37,0.4,0.41,0.421428571,0.42,0.47,0.83,56.38,51015.59,799.23
W3,WH,0.074,0.082,0.704,150.93648,10.24308,6.53212,134.16128,0.703333333,0.631111111,1.132222222,1.137777778,1.105555556,1.12,1.052222222,0.884444444,1.121111111,5.516478463,9.082426669,5.921883147,5.99438246,6.00852574,5.019111767,5.222703856,7.411505823,5.674006656,0.82,0.69,0.57,0.55,0.5,0.49,0.5,0.5,0.542857143,0.54,9.09,2,51.64,39.95,799.23
